Produto,Estoque,Vendidos,Data_de_vendas,Vendedor,cidade,latitude,longitude,Preco_kg,Faturamento,Não_vendidos
Cana-de-açúcar,620,192,2024-01-19,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.28,245.76,793.6
Trigo,931,189,2024-01-20,Ana,Porto Alegre,-30.034647,-51.217658,1.42,268.38,1322.02
Café,323,278,2024-01-21,Patrícia,Belo Horizonte,-19.924502,-43.935237,38.57,10722.46,12458.11
Trigo,861,280,2024-01-22,Pedro,Porto Alegre,-30.034647,-51.217658,1.42,397.6,1222.62
Arroz,141,243,2024-01-23,Fernanda,Fortaleza,-3.71722,-38.5434,1.56,379.08,219.96
Algodão,612,209,2024-01-24,Pedro,Rio de Janeiro,-22.906847,-43.172896,17.68,3695.12,10820.16
Milho,432,85,2024-01-25,Ana,Recife,-8.04756,-34.877,1.09,92.65,470.88000000000005
Trigo,865,498,2024-01-26,Carlos,Porto Alegre,-30.034647,-51.217658,1.42,707.16,1228.3
Algodão,65,65,2024-01-27,Carlos,Belo Horizonte,-19.924502,-43.935237,17.68,1149.2,1149.2
Arroz,277,476,2024-01-28,Carlos,Rio de Janeiro,-22.906847,-43.172896,1.56,742.5600000000001,432.12
Soja,48,48,2024-01-29,Carlos,Curitiba,-25.428954,-49.267137,2.33,111.84,111.84
Arroz,278,278,2024-01-30,Fernanda,Brasília,-15.794229,-47.882166,1.56,433.68,433.68
Cana-de-açúcar,229,186,2024-01-31,Desconhecido,Manaus,-3.10194,-60.025,1.28,238.08,293.12
Café,509,327,2024-02-01,Pedro,Porto Alegre,-30.034647,-51.217658,38.57,12612.39,19632.13
Trigo,529,180,2024-02-02,Fernanda,Porto Alegre,-30.034647,-51.217658,1.42,255.6,751.18
Cana-de-açúcar,303,68,2024-02-03,Maria,Manaus,-3.10194,-60.025,1.28,87.04,387.84
Arroz,272,272,2024-02-04,Maria,Curitiba,-25.428954,-49.267137,1.56,424.32,424.32
Algodão,615,26,2024-02-05,Ricardo,São Paulo,-23.55052,-46.633308,17.68,459.68,10873.2
Soja,174,271,2024-02-06,Fernanda,Fortaleza,-3.71722,-38.5434,2.33,631.4300000000001,405.42
Trigo,500,304,2024-02-07,Ana,Recife,-8.04756,-34.877,1.42,431.68,710.0
Café,454,106,2024-02-08,Fernanda,Belo Horizonte,-19.924502,-43.935237,38.57,4088.42,17510.78
Algodão,109,167,2024-02-09,Patrícia,Salvador,-12.971399,-38.501305,17.68,2952.56,1927.12
Café,745,265,2024-02-10,Patrícia,Brasília,-15.794229,-47.882166,38.57,10221.05,28734.65
Cana-de-açúcar,396,377,2024-02-11,Ana,Brasília,-15.794229,-47.882166,1.28,482.56,506.88
Soja,154,355,2024-02-12,Carlos,Salvador,-12.971399,-38.501305,2.33,827.15,358.82
Soja,99,99,2024-02-13,Pedro,Belo Horizonte,-19.924502,-43.935237,2.33,230.67,230.67
Soja,588,179,2024-02-14,Carlos,Curitiba,-25.428954,-49.267137,2.33,417.07,1370.04
Café,448,292,2024-02-15,Carlos,Salvador,-12.971399,-38.501305,38.57,11262.44,17279.36
Soja,525,319,2024-02-16,Maria,Belo Horizonte,-19.924502,-43.935237,2.33,743.27,1223.25
Arroz,418,265,2024-02-17,Fernanda,Recife,-8.04756,-34.877,1.56,413.4,652.08
Soja,710,1,2024-02-18,Desconhecido,Rio de Janeiro,-22.906847,-43.172896,2.33,2.33,1654.3
Soja,253,391,2024-02-19,Pedro,São Paulo,-23.55052,-46.633308,2.33,911.03,589.49
Milho,242,70,2024-02-20,Ricardo,São Paulo,-23.55052,-46.633308,1.09,76.30000000000001,263.78000000000003
Trigo,457,457,2024-02-21,Patrícia,Rio de Janeiro,-22.906847,-43.172896,1.42,648.9399999999999,648.9399999999999
Algodão,720,720,2024-02-22,Carlos,Curitiba,-25.428954,-49.267137,17.68,12729.6,12729.6
Algodão,719,379,2024-02-23,Ana,Fortaleza,-3.71722,-38.5434,17.68,6700.72,12711.92
Milho,853,432,2024-02-24,Ana,Rio de Janeiro,-22.906847,-43.172896,1.09,470.88000000000005,929.77
Cana-de-açúcar,271,271,2024-02-25,Ana,Brasília,-15.794229,-47.882166,1.28,346.88,346.88
Algodão,890,345,2024-02-26,Pedro,São Paulo,-23.55052,-46.633308,17.68,6099.599999999999,15735.2
Café,280,171,2024-02-27,Desconhecido,São Paulo,-23.55052,-46.633308,38.57,6595.47,10799.6
Cana-de-açúcar,650,238,2024-02-28,Pedro,Porto Alegre,-30.034647,-51.217658,1.28,304.64,832.0
Milho,372,273,2024-02-29,Ricardo,Fortaleza,-3.71722,-38.5434,1.09,297.57000000000005,405.48
Café,685,14,2024-03-01,Fernanda,São Paulo,-23.55052,-46.633308,38.57,539.98,26420.45
Trigo,470,425,2024-03-02,João,Fortaleza,-3.71722,-38.5434,1.42,603.5,667.4
Cana-de-açúcar,484,484,2024-03-03,Pedro,Curitiba,-25.428954,-49.267137,1.28,619.52,619.52
Trigo,671,3,2024-03-04,Fernanda,Porto Alegre,-30.034647,-51.217658,1.42,4.26,952.82
Cana-de-açúcar,438,171,2024-03-05,Maria,Belo Horizonte,-19.924502,-43.935237,1.28,218.88,560.64
Café,345,78,2024-03-06,Carlos,Belo Horizonte,-19.924502,-43.935237,38.57,3008.46,13306.65
Cana-de-açúcar,962,166,2024-03-06,João,Belo Horizonte,-19.924502,-43.935237,1.28,212.48,1231.36
Soja,639,140,2024-03-08,João,Salvador,-12.971399,-38.501305,2.33,326.2,1488.87
Arroz,200,200,2024-03-09,Carlos,Curitiba,-25.428954,-49.267137,1.56,312.0,312.0
Arroz,247,332,2024-03-10,Ana,São Paulo,-23.55052,-46.633308,1.56,517.9200000000001,385.32
Algodão,581,25,2024-03-11,Ricardo,Recife,-8.04756,-34.877,17.68,442.0,10272.08
Algodão,65,65,2024-03-12,Fernanda,São Paulo,-23.55052,-46.633308,17.68,1149.2,1149.2
Trigo,461,64,2024-03-13,João,Curitiba,-25.428954,-49.267137,1.42,90.88,654.62
Trigo,152,44,2024-03-14,Maria,Porto Alegre,-30.034647,-51.217658,1.42,62.48,215.84
Café,996,219,2024-03-15,João,Salvador,-12.971399,-38.501305,38.57,8446.83,38415.72
Cana-de-açúcar,385,302,2024-03-16,Fernanda,Salvador,-12.971399,-38.501305,1.28,386.56,492.8
Café,396,23,2024-03-17,Fernanda,Manaus,-3.10194,-60.025,38.57,887.11,15273.72
Cana-de-açúcar,912,39,2024-03-18,João,São Paulo,-23.55052,-46.633308,1.28,49.92,1167.36
Café,919,186,2024-03-19,Ricardo,Belo Horizonte,-19.924502,-43.935237,38.57,7174.02,35445.83
Milho,21,178,2024-03-20,Ricardo,São Paulo,-23.55052,-46.633308,1.09,194.02,22.89
Trigo,768,468,2024-03-21,Fernanda,Manaus,-3.10194,-60.025,1.42,664.56,1090.56
Cana-de-açúcar,89,89,2024-03-22,Ana,Porto Alegre,-30.034647,-51.217658,1.28,113.92,113.92
Soja,330,198,2024-03-23,João,São Paulo,-23.55052,-46.633308,2.33,461.34,768.9
Cana-de-açúcar,602,243,2024-03-24,Ana,Fortaleza,-3.71722,-38.5434,1.28,311.04,770.5600000000001
Algodão,544,323,2024-03-25,Fernanda,São Paulo,-23.55052,-46.633308,17.68,5710.64,9617.92
Trigo,254,69,2024-03-26,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.42,97.98,360.68
Soja,862,247,2024-03-27,Carlos,Curitiba,-25.428954,-49.267137,2.33,575.51,2008.46
Arroz,951,137,2024-03-28,Ricardo,Porto Alegre,-30.034647,-51.217658,1.56,213.72,1483.56
Soja,4,242,2024-03-29,Pedro,Brasília,-15.794229,-47.882166,2.33,563.86,9.32
Trigo,782,361,2024-03-30,Maria,Fortaleza,-3.71722,-38.5434,1.42,512.62,1110.44
Trigo,685,299,2024-03-31,João,Rio de Janeiro,-22.906847,-43.172896,1.42,424.58,972.7
Cana-de-açúcar,29,29,2024-04-01,João,Fortaleza,-3.71722,-38.5434,1.28,37.12,37.12
Arroz,782,315,2024-04-02,Patrícia,Porto Alegre,-30.034647,-51.217658,1.56,491.4,1219.92
Cana-de-açúcar,503,190,2024-04-03,Maria,Brasília,-15.794229,-47.882166,1.28,243.2,643.84
Soja,985,323,2024-04-04,Ricardo,Recife,-8.04756,-34.877,2.33,752.59,2295.05
Cana-de-açúcar,306,365,2024-04-05,Ricardo,Brasília,-15.794229,-47.882166,1.28,467.2,391.68
Café,223,277,2024-04-06,João,São Paulo,-23.55052,-46.633308,38.57,10683.89,8601.11
Café,706,347,2024-04-07,Ana,Belo Horizonte,-19.924502,-43.935237,38.57,13383.79,27230.42
Cana-de-açúcar,482,342,2024-04-08,Maria,Fortaleza,-3.71722,-38.5434,1.28,437.76,616.96
Arroz,17,433,2024-04-09,Ana,Curitiba,-25.428954,-49.267137,1.56,675.48,26.52
Soja,71,345,2024-04-10,Desconhecido,Brasília,-15.794229,-47.882166,2.33,803.85,165.43
Algodão,789,446,2024-04-11,Fernanda,Recife,-8.04756,-34.877,17.68,7885.28,13949.52
Trigo,193,193,2024-04-12,Ana,Brasília,-15.794229,-47.882166,1.42,274.06,274.06
Algodão,860,175,2024-04-13,Maria,Salvador,-12.971399,-38.501305,17.68,3094.0,15204.8
Soja,905,183,2024-04-14,Ricardo,Manaus,-3.10194,-60.025,2.33,426.39,2108.65
Trigo,128,33,2024-04-15,Fernanda,Curitiba,-25.428954,-49.267137,1.42,46.86,181.76
Soja,162,133,2024-04-16,Carlos,Porto Alegre,-30.034647,-51.217658,2.33,309.89,377.46
Arroz,968,240,2024-04-17,Maria,Recife,-8.04756,-34.877,1.56,374.4,1510.0800000000002
Café,577,45,2024-04-18,Ana,Manaus,-3.10194,-60.025,38.57,1735.65,22254.89
Algodão,490,234,2024-04-19,Ana,Recife,-8.04756,-34.877,17.68,4137.12,8663.2
Milho,493,377,2024-04-20,João,Fortaleza,-3.71722,-38.5434,1.09,410.93,537.37
Café,688,200,2024-04-21,Maria,Porto Alegre,-30.034647,-51.217658,38.57,7714.0,26536.16
Trigo,411,250,2024-04-22,João,Porto Alegre,-30.034647,-51.217658,1.42,355.0,583.62
Arroz,321,321,2024-04-23,Ricardo,Fortaleza,-3.71722,-38.5434,1.56,500.76,500.76
Cana-de-açúcar,761,414,2024-04-24,Ricardo,Curitiba,-25.428954,-49.267137,1.28,529.92,974.08
Cana-de-açúcar,432,351,2024-04-25,Patrícia,Curitiba,-25.428954,-49.267137,1.28,449.28,552.96
Cana-de-açúcar,386,313,2024-04-26,Ana,Recife,-8.04756,-34.877,1.28,400.64,494.08
Milho,330,80,2024-04-27,João,Brasília,-15.794229,-47.882166,1.09,87.2,359.70000000000005
Soja,278,208,2024-04-28,Pedro,Manaus,-3.10194,-60.025,2.33,484.64,647.74
Trigo,826,105,2024-04-29,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.42,149.1,1172.9199999999998
Trigo,724,18,2024-04-30,Desconhecido,Manaus,-3.10194,-60.025,1.42,25.56,1028.08
Milho,714,84,2024-05-01,Desconhecido,Rio de Janeiro,-22.906847,-43.172896,1.09,91.56,778.2600000000001
Cana-de-açúcar,369,379,2024-05-02,Ricardo,Salvador,-12.971399,-38.501305,1.28,485.12,472.32
Milho,249,164,2024-05-03,Ana,Brasília,-15.794229,-47.882166,1.09,178.76000000000002,271.41
Café,41,41,2024-05-04,Pedro,São Paulo,-23.55052,-46.633308,38.57,1581.37,1581.37
Arroz,435,63,2024-05-05,Carlos,Porto Alegre,-30.034647,-51.217658,1.56,98.28,678.6
Café,995,188,2024-05-06,Ana,Manaus,-3.10194,-60.025,38.57,7251.16,38377.15
Cana-de-açúcar,185,185,2024-05-07,Patrícia,Brasília,-15.794229,-47.882166,1.28,236.8,236.8
Cana-de-açúcar,846,471,2024-05-08,Patrícia,Curitiba,-25.428954,-49.267137,1.28,602.88,1082.88
Algodão,536,414,2024-05-09,Pedro,São Paulo,-23.55052,-46.633308,17.68,7319.519999999999,9476.48
Café,830,364,2024-05-10,Fernanda,Porto Alegre,-30.034647,-51.217658,38.57,14039.48,32013.1
Cana-de-açúcar,431,104,2024-05-11,Ana,Fortaleza,-3.71722,-38.5434,1.28,133.12,551.6800000000001
Cana-de-açúcar,536,77,2024-05-12,Carlos,Brasília,-15.794229,-47.882166,1.28,98.56,686.08
Soja,672,164,2024-05-13,Patrícia,Curitiba,-25.428954,-49.267137,2.33,382.12,1565.76
Cana-de-açúcar,132,394,2024-05-14,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.28,504.32,168.96
Cana-de-açúcar,499,31,2024-05-15,João,Brasília,-15.794229,-47.882166,1.28,39.68,638.72
Soja,28,461,2024-05-16,Carlos,Salvador,-12.971399,-38.501305,2.33,1074.13,65.24000000000001
Milho,437,488,2024-05-17,Ricardo,Fortaleza,-3.71722,-38.5434,1.09,531.9200000000001,476.33
Milho,1,1,2024-05-18,Patrícia,Porto Alegre,-30.034647,-51.217658,1.09,1.09,1.09
Algodão,566,355,2024-05-19,Pedro,Fortaleza,-3.71722,-38.5434,17.68,6276.4,10006.88
Milho,68,58,2024-05-20,Fernanda,Porto Alegre,-30.034647,-51.217658,1.09,63.220000000000006,74.12
Arroz,537,253,2024-05-21,Pedro,Manaus,-3.10194,-60.025,1.56,394.68,837.72
Cana-de-açúcar,133,241,2024-05-22,Carlos,São Paulo,-23.55052,-46.633308,1.28,308.48,170.24
Milho,215,275,2024-05-23,Carlos,Salvador,-12.971399,-38.501305,1.09,299.75,234.35
Café,877,877,2024-05-24,Ana,Recife,-8.04756,-34.877,38.57,33825.89,33825.89
Arroz,447,360,2024-05-25,Ricardo,Curitiba,-25.428954,-49.267137,1.56,561.6,697.32
Milho,98,98,2024-05-26,Patrícia,Manaus,-3.10194,-60.025,1.09,106.82,106.82
Algodão,552,329,2024-05-27,Patrícia,Recife,-8.04756,-34.877,17.68,5816.72,9759.36
Soja,265,235,2024-05-28,Ricardo,Manaus,-3.10194,-60.025,2.33,547.5500000000001,617.45
Café,582,400,2024-05-29,Ricardo,Manaus,-3.10194,-60.025,38.57,15428.0,22447.74
Arroz,121,209,2024-05-30,Ana,Rio de Janeiro,-22.906847,-43.172896,1.56,326.04,188.76
Trigo,948,97,2024-05-31,Pedro,Recife,-8.04756,-34.877,1.42,137.73999999999998,1346.16
Cana-de-açúcar,681,351,2024-06-01,Patrícia,Recife,-8.04756,-34.877,1.28,449.28,871.6800000000001
Trigo,935,39,2024-06-02,Carlos,Belo Horizonte,-19.924502,-43.935237,1.42,55.38,1327.7
Soja,935,33,2024-06-03,Ana,Fortaleza,-3.71722,-38.5434,2.33,76.89,2178.55
Milho,960,492,2024-06-04,Maria,Salvador,-12.971399,-38.501305,1.09,536.2800000000001,1046.4
Milho,464,464,2024-06-05,Ricardo,Brasília,-15.794229,-47.882166,1.09,505.7600000000001,505.7600000000001
Milho,260,260,2024-06-05,Ricardo,Porto Alegre,-30.034647,-51.217658,1.09,283.40000000000003,283.40000000000003
Trigo,722,213,2024-06-07,Maria,Manaus,-3.10194,-60.025,1.42,302.46,1025.24
Café,8,444,2024-06-08,Ana,Curitiba,-25.428954,-49.267137,38.57,17125.08,308.56
Trigo,714,341,2024-06-09,Patrícia,Rio de Janeiro,-22.906847,-43.172896,1.42,484.22,1013.88
Arroz,737,393,2024-06-10,Ana,Rio de Janeiro,-22.906847,-43.172896,1.56,613.08,1149.72
Milho,420,396,2024-06-11,Desconhecido,Belo Horizonte,-19.924502,-43.935237,1.09,431.64,457.8
Soja,345,23,2024-06-12,Pedro,Brasília,-15.794229,-47.882166,2.33,53.59,803.85
Trigo,219,219,2024-06-13,Fernanda,Manaus,-3.10194,-60.025,1.42,310.98,310.98
Cana-de-açúcar,689,352,2024-06-14,Fernanda,São Paulo,-23.55052,-46.633308,1.28,450.56,881.9200000000001
Arroz,753,111,2024-06-15,Carlos,Brasília,-15.794229,-47.882166,1.56,173.16,1174.68
Cana-de-açúcar,82,334,2024-06-16,Carlos,Rio de Janeiro,-22.906847,-43.172896,1.28,427.52,104.96
Soja,314,213,2024-06-17,Fernanda,Manaus,-3.10194,-60.025,2.33,496.29,731.62
Algodão,57,57,2024-06-18,Ana,Belo Horizonte,-19.924502,-43.935237,17.68,1007.76,1007.76
Arroz,596,171,2024-06-19,Ricardo,Manaus,-3.10194,-60.025,1.56,266.76,929.76
Algodão,823,370,2024-06-20,Fernanda,Porto Alegre,-30.034647,-51.217658,17.68,6541.599999999999,14550.64
Cana-de-açúcar,287,287,2024-06-21,Ricardo,Porto Alegre,-30.034647,-51.217658,1.28,367.36,367.36
Trigo,480,37,2024-06-22,Fernanda,Curitiba,-25.428954,-49.267137,1.42,52.54,681.5999999999999
Trigo,760,462,2024-06-23,Maria,Salvador,-12.971399,-38.501305,1.42,656.04,1079.2
Soja,881,83,2024-06-24,Maria,Belo Horizonte,-19.924502,-43.935237,2.33,193.39,2052.73
Cana-de-açúcar,334,477,2024-06-25,Patrícia,Fortaleza,-3.71722,-38.5434,1.28,610.5600000000001,427.52
Milho,293,252,2024-06-26,Ana,Fortaleza,-3.71722,-38.5434,1.09,274.68,319.37
Café,787,205,2024-06-27,Patrícia,Brasília,-15.794229,-47.882166,38.57,7906.85,30354.59
Café,94,94,2024-06-28,Pedro,Porto Alegre,-30.034647,-51.217658,38.57,3625.58,3625.58
Café,409,113,2024-06-29,Desconhecido,Fortaleza,-3.71722,-38.5434,38.57,4358.41,15775.13
Trigo,251,496,2024-06-30,Fernanda,Fortaleza,-3.71722,-38.5434,1.42,704.3199999999999,356.42
Cana-de-açúcar,325,402,2024-07-01,Ana,São Paulo,-23.55052,-46.633308,1.28,514.5600000000001,416.0
Trigo,744,353,2024-07-02,João,Porto Alegre,-30.034647,-51.217658,1.42,501.26,1056.48
Algodão,134,216,2024-07-03,Ana,Fortaleza,-3.71722,-38.5434,17.68,3818.88,2369.12
Trigo,862,23,2024-07-04,Pedro,Rio de Janeiro,-22.906847,-43.172896,1.42,32.66,1224.04
Algodão,762,4,2024-07-05,Ricardo,Fortaleza,-3.71722,-38.5434,17.68,70.72,13472.16
Algodão,799,124,2024-07-06,Fernanda,Manaus,-3.10194,-60.025,17.68,2192.32,14126.32
Algodão,470,46,2024-07-07,Ana,Porto Alegre,-30.034647,-51.217658,17.68,813.28,8309.6
Trigo,989,81,2024-07-08,Patrícia,Porto Alegre,-30.034647,-51.217658,1.42,115.02,1404.38
Cana-de-açúcar,733,61,2024-07-09,Pedro,Rio de Janeiro,-22.906847,-43.172896,1.28,78.08,938.24
Cana-de-açúcar,398,247,2024-07-10,Desconhecido,Rio de Janeiro,-22.906847,-43.172896,1.28,316.16,509.44
Café,890,253,2024-07-11,João,São Paulo,-23.55052,-46.633308,38.57,9758.21,34327.3
Café,274,274,2024-07-12,Patrícia,São Paulo,-23.55052,-46.633308,38.57,10568.18,10568.18
Soja,322,190,2024-07-13,Patrícia,Fortaleza,-3.71722,-38.5434,2.33,442.7,750.26
Trigo,669,63,2024-07-14,Fernanda,Recife,-8.04756,-34.877,1.42,89.46,949.98
Soja,685,239,2024-07-15,João,Fortaleza,-3.71722,-38.5434,2.33,556.87,1596.05
Algodão,688,100,2024-07-16,Ana,Rio de Janeiro,-22.906847,-43.172896,17.68,1768.0,12163.84
Soja,57,491,2024-07-17,Patrícia,Rio de Janeiro,-22.906847,-43.172896,2.33,1144.03,132.81
Arroz,11,237,2024-07-18,Fernanda,Fortaleza,-3.71722,-38.5434,1.56,369.72,17.16
Trigo,819,94,2024-07-19,Ricardo,Salvador,-12.971399,-38.501305,1.42,133.48,1162.98
Arroz,387,212,2024-07-20,Desconhecido,Rio de Janeiro,-22.906847,-43.172896,1.56,330.72,603.72
Café,103,168,2024-07-21,Maria,Manaus,-3.10194,-60.025,38.57,6479.76,3972.71
Algodão,652,53,2024-07-22,Ricardo,Salvador,-12.971399,-38.501305,17.68,937.04,11527.36
Soja,616,100,2024-07-23,Pedro,Salvador,-12.971399,-38.501305,2.33,233.0,1435.28
Cana-de-açúcar,276,16,2024-07-24,Ana,Manaus,-3.10194,-60.025,1.28,20.48,353.28000000000003
Arroz,824,208,2024-07-25,João,São Paulo,-23.55052,-46.633308,1.56,324.48,1285.44
Milho,724,465,2024-07-26,João,Brasília,-15.794229,-47.882166,1.09,506.85,789.1600000000001
Café,459,90,2024-07-27,Ana,Recife,-8.04756,-34.877,38.57,3471.3,17703.63
Soja,658,90,2024-07-28,Fernanda,Porto Alegre,-30.034647,-51.217658,2.33,209.7,1533.14
Milho,831,375,2024-07-29,Patrícia,Belo Horizonte,-19.924502,-43.935237,1.09,408.75000000000006,905.79
Trigo,151,404,2024-07-30,Fernanda,Manaus,-3.10194,-60.025,1.42,573.68,214.42
Algodão,453,193,2024-07-31,Ana,Recife,-8.04756,-34.877,17.68,3412.24,8009.04
Trigo,778,778,2024-08-01,Patrícia,Curitiba,-25.428954,-49.267137,1.42,1104.76,1104.76
Cana-de-açúcar,46,46,2024-08-02,Desconhecido,Porto Alegre,-30.034647,-51.217658,1.28,58.88,58.88
Trigo,1,1,2024-08-03,Maria,Porto Alegre,-30.034647,-51.217658,1.42,1.42,1.42
Trigo,834,257,2024-08-04,João,Fortaleza,-3.71722,-38.5434,1.42,364.94,1184.28
Milho,674,267,2024-08-05,Ana,Belo Horizonte,-19.924502,-43.935237,1.09,291.03000000000003,734.6600000000001
Café,349,349,2024-08-06,Fernanda,Porto Alegre,-30.034647,-51.217658,38.57,13460.93,13460.93
Café,458,360,2024-08-07,Pedro,Curitiba,-25.428954,-49.267137,38.57,13885.2,17665.06
Algodão,930,291,2024-08-08,Ana,Salvador,-12.971399,-38.501305,17.68,5144.88,16442.4
Café,46,375,2024-08-09,Fernanda,Fortaleza,-3.71722,-38.5434,38.57,14463.75,1774.22
Algodão,195,167,2024-08-10,Patrícia,Salvador,-12.971399,-38.501305,17.68,2952.56,3447.6
Cana-de-açúcar,697,147,2024-08-11,Patrícia,Porto Alegre,-30.034647,-51.217658,1.28,188.16,892.16
Milho,782,142,2024-08-12,Maria,Belo Horizonte,-19.924502,-43.935237,1.09,154.78,852.3800000000001
Algodão,932,120,2024-08-13,Maria,Curitiba,-25.428954,-49.267137,17.68,2121.6,16477.76
Trigo,847,847,2024-08-14,Ana,Recife,-8.04756,-34.877,1.42,1202.74,1202.74
Soja,269,353,2024-08-15,Pedro,Belo Horizonte,-19.924502,-43.935237,2.33,822.49,626.77
Arroz,827,9,2024-08-16,Maria,Rio de Janeiro,-22.906847,-43.172896,1.56,14.04,1290.12
Arroz,75,444,2024-08-17,João,Salvador,-12.971399,-38.501305,1.56,692.64,117.0
Café,892,323,2024-08-18,Ricardo,Brasília,-15.794229,-47.882166,38.57,12458.11,34404.44
Trigo,293,361,2024-08-19,Maria,Fortaleza,-3.71722,-38.5434,1.42,512.62,416.06
Algodão,644,428,2024-08-19,Ricardo,Manaus,-3.10194,-60.025,17.68,7567.04,11385.92
Trigo,740,117,2024-08-21,Ricardo,Curitiba,-25.428954,-49.267137,1.42,166.14,1050.8
Algodão,526,134,2024-08-22,Desconhecido,São Paulo,-23.55052,-46.633308,17.68,2369.12,9299.68
Arroz,166,29,2024-08-23,Pedro,Fortaleza,-3.71722,-38.5434,1.56,45.24,258.96000000000004
Algodão,658,385,2024-08-24,Desconhecido,Manaus,-3.10194,-60.025,17.68,6806.8,11633.44
Milho,221,452,2024-08-25,Carlos,Brasília,-15.794229,-47.882166,1.09,492.68000000000006,240.89
Cana-de-açúcar,184,184,2024-08-26,Pedro,Rio de Janeiro,-22.906847,-43.172896,1.28,235.52,235.52
Café,627,436,2024-08-27,Ricardo,Recife,-8.04756,-34.877,38.57,16816.52,24183.39
Trigo,40,170,2024-08-28,Fernanda,Brasília,-15.794229,-47.882166,1.42,241.4,56.8
Algodão,535,299,2024-08-29,Ricardo,Recife,-8.04756,-34.877,17.68,5286.32,9458.8
Algodão,902,357,2024-08-29,Maria,Brasília,-15.794229,-47.882166,17.68,6311.76,15947.36
Algodão,134,134,2024-08-31,Fernanda,Rio de Janeiro,-22.906847,-43.172896,17.68,2369.12,2369.12
Arroz,430,430,2024-09-01,Pedro,Fortaleza,-3.71722,-38.5434,1.56,670.8000000000001,670.8000000000001
Trigo,440,248,2024-09-02,Patrícia,Porto Alegre,-30.034647,-51.217658,1.42,352.16,624.8
Algodão,68,68,2024-09-03,João,Manaus,-3.10194,-60.025,17.68,1202.24,1202.24
Soja,54,29,2024-09-04,Pedro,Salvador,-12.971399,-38.501305,2.33,67.57000000000001,125.82
Cana-de-açúcar,705,485,2024-09-05,Ricardo,Belo Horizonte,-19.924502,-43.935237,1.28,620.8000000000001,902.4
Café,77,275,2024-09-06,Maria,Fortaleza,-3.71722,-38.5434,38.57,10606.75,2969.89
Arroz,167,167,2024-09-07,Patrícia,São Paulo,-23.55052,-46.633308,1.56,260.52,260.52
Algodão,954,337,2024-09-08,Patrícia,Porto Alegre,-30.034647,-51.217658,17.68,5958.16,16866.72
Arroz,500,157,2024-09-09,Maria,Fortaleza,-3.71722,-38.5434,1.56,244.92,780.0
Soja,575,143,2024-09-10,João,Porto Alegre,-30.034647,-51.217658,2.33,333.19,1339.75
Cana-de-açúcar,566,214,2024-09-11,Maria,Brasília,-15.794229,-47.882166,1.28,273.92,724.48
Trigo,550,397,2024-09-12,Desconhecido,Porto Alegre,-30.034647,-51.217658,1.42,563.74,781.0
Soja,600,338,2024-09-13,Carlos,São Paulo,-23.55052,-46.633308,2.33,787.5400000000001,1398.0
Algodão,330,245,2024-09-14,Ricardo,Salvador,-12.971399,-38.501305,17.68,4331.6,5834.4
Cana-de-açúcar,237,209,2024-09-15,Fernanda,Rio de Janeiro,-22.906847,-43.172896,1.28,267.52,303.36
